Date,Open,High,Low,Close
2019-01-01,20.41,23.47,18.62,20.47
2019-02-01,20.36,21.62,19.25,21.33
2019-03-01,20.46,20.48,16.96,18.66
2019-04-01,18.84,19.74,15.41,15.91
2019-05-01,15.92,17.22,12.27,12.34
2019-06-01,12.37,15.65,11.8,14.9
2019-07-01,15.35,17.74,14.81,16.11
2019-08-01,16.18,16.3,14.07,15.04
2019-09-01,14.94,16.9,14.56,16.06
2019-10-01,16.1,22.72,14.95,20.99
2019-11-01,21.09,24.08,20.62,22
2019-12-01,21.96,29.02,21.82,27.89
2020-01-01,28.3,43.53,28.11,43.37
2020-02-01,44.91,64.6,40.77,44.53
2020-03-01,47.42,53.8,23.37,34.93
2020-04-01,33.6,57.99,29.76,52.13
2020-05-01,50.33,56.22,45.54,55.67
2020-06-01,57.2,72.51,56.94,71.99
2020-07-01,72.2,119.67,72.03,95.38
2020-08-01,96.61,166.71,91,166.11
2020-09-01,167.38,167.5,109.96,143
2020-10-01,146.92,155.3,126.37,129.35
2020-11-01,131.33,202.6,130.77,189.2
2020-12-01,199.2,239.57,180.4,235.22
2021-01-01,239.82,300.13,239.06,264.51
2021-02-01,271.43,293.5,206.33,225.17
2021-03-01,230.04,240.37,179.83,222.64
2021-04-01,229.46,260.26,219.81,236.48
2021-05-01,234.6,235.33,182.33,208.41
2021-06-01,209.27,232.54,190.41,226.57
2021-07-01,227.97,233.33,206.82,229.07
2021-08-01,233.33,246.8,216.28,245.24
2021-09-01,244.69,266.33,236.28,258.49
2021-10-01,259.47,371.74,254.53,371.33
2021-11-01,381.67,414.5,326.2,381.59
2021-12-01,386.9,390.95,295.37,352.26
2022-01-01,382.58,402.67,264,312.24
2022-02-01,311.74,315.92,233.33,290.14
2022-03-01,289.89,371.59,252.01,359.2
2022-04-01,360.38,384.29,273.9,290.25
2022-05-01,286.92,318.5,206.86,252.75
2022-06-01,251.72,264.21,208.69,224.47
2022-07-01,227,298.32,216.17,297.15
2022-08-01,301.27,314.67,271.81,275.61
2022-09-01,272.58,313.8,262.47,265.25
2022-10-01,254.5,257.5,198.59,227.54
2022-11-01,234.05,237.4,166.18,194.7
2022-12-01,197.08,198.92,108.24,123.18
2023-01-01,118.47,180.68,101.81,173.22
2023-02-01,173.89,217.65,169.93,205.71
2023-03-01,206.21,207.79,163.91,207.46
2023-04-01,199.91,202.69,152.37,164.31
2023-05-01,163.17,204.48,158.83,203.93
2023-06-01,202.59,276.99,199.37,261.77
2023-07-01,276.49,299.29,254.12,267.43
2023-08-01,266.26,266.47,212.36,258.08
2023-09-01,257.26,278.98,234.58,250.22
2023-10-01,244.81,268.94,194.07,200.84
2023-11-01,204.04,252.75,197.85,240.08
2023-12-01,233.14,265.13,228.2,248.48
2024-01-01,250.08,251.25,180.06,187.29
2024-02-01,188.5,205.6,175.01,201.88
2024-03-01,200.52,204.52,160.51,175.79
2024-04-01,176.17,198.87,138.8,183.28
2024-05-01,182,187.56,167.75,178.08
2024-06-01,178.13,203.2,167.41,197.88
2024-07-01,201.02,271,200.85,232.07
2024-08-01,227.69,231.87,182,214.11
2024-09-01,215.26,264.86,209.64,261.63
2024-10-01,262.66,263.98,212.12,213.65